Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title
00:00:05,30-01-2026,Extra,BR (Brazil),00:56:20,00:56:20,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 1: Diamante raro (episódio 1)
00:05:47,30-01-2026,Extra,BR (Brazil),00:54:40,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 1: Diamante raro (episódio 1)
00:40:58,30-01-2026,Extra,BR (Brazil),00:40:09,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 1: Diamante raro (episódio 1)
00:00:38,30-01-2026,Extra,BR (Brazil),00:25:59,00:25:59,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
00:06:37,30-01-2026,Extra,BR (Brazil),00:20:14,00:20:14,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Simple Explanation (episódio 20)
00:31:17,30-01-2026,Extra,BR (Brazil),01:01:07,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
00:23:30,30-01-2026,Extra,BR (Brazil),00:48:55,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
00:01:31,29-01-2026,Extra,BR (Brazil),00:26:56,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
00:25:41,29-01-2026,Extra,BR (Brazil),00:25:25,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
01:08:39,29-01-2026,Extra,BR (Brazil),01:06:38,01:06:38,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: O Campo Próximo à Outra Estrada (episódio 3)
00:03:23,29-01-2026,Extra,BR (Brazil),00:13:38,Not latest view,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Simple Explanation (episódio 20)
01:04:41,29-01-2026,Extra,BR (Brazil),01:01:48,01:01:48,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Tempo Trespassado (episódio 2)
00:00:30,29-01-2026,Extra,BR (Brazil),00:01:08,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Tempo Trespassado (episódio 2)
00:01:23,29-01-2026,Extra,BR (Brazil),00:01:22,00:01:22,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: A Valsa (episódio 1)
00:00:38,29-01-2026,Extra,BR (Brazil),00:00:38,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Tempo Trespassado (episódio 2)
00:16:44,29-01-2026,Extra,BR (Brazil),00:59:34,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: A Valsa (episódio 1)
00:01:37,29-01-2026,Extra,BR (Brazil),00:42:53,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: A Valsa (episódio 1)
00:19:37,29-01-2026,Extra,BR (Brazil),00:41:17,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: A Valsa (episódio 1)
