Tittle_Name,tmdb_id,name,media_type,vote_average,vote_count,popularity,release_date,runtime,genres,director,top_cast,overview
"""Nunca Mais Outra Vez""",36670,007: Nunca Mais Outra Vez,movie,6.06,1570,5.9534,1983-10-07,134.0,"Aventura, Ação, Thriller",Irvin Kershner,"Sean Connery, Klaus Maria Brandauer, Max von Sydow, Barbara Carrera, Kim Basinger","James Bond (Sean Connery) é convocado para reaver bombas nucleares roubadas pela Spectre, uma terrível organização criminosa que pretende lançá-las em cidades americanas. Mas terá que enfrentar uma sexy assassina profissional, contratada especialmente para eliminá-lo."
"""Dr. House",1408,Dr. House,tv,8.576,7375,167.7769,2004-11-16,,Drama,,"Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer, Odette Annable","O Dr. Gregory House é um médico genial, mas misantropo e viciado em analgésicos, que lidera uma equipe de diagnóstico em um hospital de Nova Jersey. Com um cinismo implacável e métodos pouco ortodoxos, ele trata os casos médicos mais raros e misteriosos como quebra-cabeças complexos, desafiando todos ao seu redor para chegar à verdade."
"""Bridgerton",91239,Bridgerton,tv,8.1,3192,272.9356,2020-12-25,,Drama,,"Ruth Gemmell, Luke Thompson, Yerin Ha, Luke Newton, Claudia Jessie","Um mundo sensual, luxuoso e competitivo da alta sociedade londrina no início do século XIX. Nesse período, a família Bridgerton, composta por oito irmãos, enfrenta o disputado mercado de casamentos, os bailes suntuosos de Mayfair e os palácios aristocráticos de Park Lane."
"""Agente Infiltrado""",1102776,Agente Infiltrado,movie,6.86,674,1.4157,2023-04-28,122.0,Ação,Morgan S. Dalibert,"Alban Lenoir, Éric Cantona, Thibault de Montalembert, Sveva Alviti, Saïdou Camara","Um homem enfrenta um dilema moral depois de se infiltrar em um grupo criminoso. A situação piora quando o filho do chefe, um garoto de oito anos, entra na jogada."
"""O Amor Pode Ser Traduzido?",229891,O Amor Pode Ser Traduzido?,tv,8.565,85,15.9255,2026-01-16,,"Drama, Comédia",유영은,"김선호, Go Youn-jung, 福士蒼汰, 이이담, 최우성","Em uma viagem para gravar um programa de TV, os sentimentos de uma celebridade e seu intérprete acabam presos na barreira do idioma. Será que a linguagem do amor vai vencer?"
"""Invejosa",261615,Invejosa,tv,7.713,82,6.8125,2024-09-18,,"Comédia, Drama",,"Griselda Siciliani, Esteban Lamothe, Pilar Gamboa, Violeta Urtizberea, Marina Bellati","Após um término terrível e prestes a fazer 40 anos, Vicky busca um novo amor. Nessa missão, ela embarca em uma jornada de autodescoberta muito profunda (e divertida)."
"""Clipe 2",292140,Clipe: Cante com Bubu (2019),tv,0.0,0,0.0539,,,,,,"Cante com Bubu é pura fofura! São 10 novas músicas cuidadosamente produzidas para alegrar o dia a dia das crianças. Em cada uma delas, as corujinhas brincam e se divertem em cenários super bonitos e coloridos. As músicas são únicas e trazem estilos musicais diferentes, indo do reggae ao samba. As letras acompanham as músicas, fazendo todos querem soltar a voz junto com as corujinhas!"
"""Clipe 4",991409,Clipes Animados Vol. 4,movie,0.0,0,0.0,2009-12-31,114.0,,,,Compilação de clipes de animações com música dos anos 2000.
"""Teaser",75865,Teasing Master Takagi-san,tv,8.2,389,13.9014,2018-01-08,,"Animação, Comédia",,"Yuki Kaji, Rie Takahashi","A história foca no estudante do ensino médio Nishikata, que sofreu humilhações após ser provocado pela Takagi, a menina da mesma classe dele. Desde então, ele prometeu que vai fazer Takagi ser humilhada do mesmo jeito que ele foi humilhado."
"""Luther",17519,Zeke e Luther,tv,7.7,101,7.6693,2009-06-15,,"Comédia, Família",,"Hutch Dano, Adam Hicks, Daniel Curtis Lee","Zeke e Luther não querem mais nada da vida a não ser se tornar skatistas mundialmente famosos. Junto com seus amigos, skatistas rivais e família, Zeke e Luther estão sempre ocupados se metendo em confusão."
"""65",700391,65: Ameaça Pré-Histórica,movie,5.955,2759,9.6274,2023-03-02,92.0,"Ação, Aventura, Ficção científica",Bryan Woods,"Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King, Brian Dare","Após um acidente catastrófico em um planeta desconhecido, o piloto Mills rapidamente descobre que está preso na Terra há 65 milhões de anos. Agora, com apenas uma chance de resgate, Mills e o único outro sobrevivente, Koa, devem atravessar um terreno desconhecido cheio de perigosas criaturas pré-históricas (incluindo dinossauros) em uma luta épica para sobreviver."
"""Maze Runner",198663,Maze Runner: Correr ou Morrer,movie,7.189,17899,16.0908,2014-09-10,113.0,"Ação, Mistério, Ficção científica, Thriller",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Will Poulter","Num cenário pós-apocalíptico, uma comunidade de rapazes descobre que estão presos num labirinto misterioso. Juntos, terão de descobrir como escapar, resolver o enigma e revelar o arrepiante segredo acerca de quem os colocou ali e por que razão."
"""Sniper",190859,Sniper Americano,movie,7.413,13495,8.7322,2014-12-25,132.0,"Guerra, Ação",Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis, Ben Reed","Chris Kyle é um atirador de elite das forças especiais da marinha dos Estados Unidos. Durante a Guerra do Iraque, sua missão é proteger seus companheiros e seu dever faz dele um dos maiores atiradores da história norte-americana. Sua precisão salva inúmeras vidas, mas também o torna um alvo preferencial. Quando Kyle finalmente volta para casa, ele descobre que não tem como deixar a guerra para trás."
