Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title
00:00:05,2026-01-30 14:59:45,Extra,BR (Brazil),00:56:20,00:56:20,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 1: Diamante raro (episódio 1)
00:05:47,2026-01-30 14:39:46,Extra,BR (Brazil),00:54:40,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 1: Diamante raro (episódio 1)
00:40:58,2026-01-30 09:18:13,Extra,BR (Brazil),00:40:09,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 1: Diamante raro (episódio 1)
00:00:38,2026-01-30 08:40:42,Extra,BR (Brazil),00:25:59,00:25:59,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
00:06:37,2026-01-30 01:26:09,Extra,BR (Brazil),00:20:14,00:20:14,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Simple Explanation (episódio 20)
00:31:17,2026-01-30 01:17:54,Extra,BR (Brazil),01:01:07,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
00:23:30,2026-01-30 00:07:05,Extra,BR (Brazil),00:48:55,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
00:01:31,2026-01-29 23:54:47,Extra,BR (Brazil),00:26:56,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
00:25:41,2026-01-29 22:15:32,Extra,BR (Brazil),00:25:25,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Um Perfeito Cavalheiro (episódio 4)
01:08:39,2026-01-29 20:58:44,Extra,BR (Brazil),01:06:38,01:06:38,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: O Campo Próximo à Outra Estrada (episódio 3)
00:03:23,2026-01-29 20:46:09,Extra,BR (Brazil),00:13:38,Not latest view,,,Chrome OS (Cadmium),Dr. House: Temporada 5: Simple Explanation (episódio 20)
01:04:41,2026-01-29 19:53:42,Extra,BR (Brazil),01:01:48,01:01:48,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Tempo Trespassado (episódio 2)
00:00:30,2026-01-29 19:53:09,Extra,BR (Brazil),00:01:08,Not latest view,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: Tempo Trespassado (episódio 2)
00:01:23,2026-01-29 19:37:30,Extra,BR (Brazil),00:01:22,00:01:22,,,DefaultWidevineAndroidPhone,Bridgerton: Temporada 4: A Valsa (episódio 1)
