"Duration","Start Time","Profile Name","Country","Bookmark","Latest Bookmark","Supplemental Video Type","Attributes","Device Type","Title"
"00:10:42","2026-02-01 14:19:35","João Vitor","BR (Brazil)","00:11:25","00:11:25","","Autoplayed: user action: None; ","Apple iPhone 15 iPhone","Wakfu: Temporada 2: Kriss Krass (episódio 10)"
"00:23:30","2026-02-01 13:52:54","João Vitor","BR (Brazil)","00:22:12","00:22:12","","","Apple iPhone 15 iPhone","Wakfu: Temporada 2: O mundo de Rushu (episódio 9)"
"00:05:09","2026-02-01 13:48:13","João Vitor","BR (Brazil)","00:21:54","00:21:54","","","Apple iPhone 15 iPhone","Wakfu: Temporada 2: O cavaleiro justiceiro (episódio 8)"
"00:15:48","2026-01-31 17:18:08","João Vitor","BR (Brazil)","00:16:44","Not latest view","","","Apple iPhone 15 iPhone","Wakfu: Temporada 2: O cavaleiro justiceiro (episódio 8)"
"00:00:44","2026-01-31 17:15:02","João Vitor","BR (Brazil)","00:00:45","Not latest view","","Autoplayed: user action: None; ","Apple iPhone 15 iPhone","Wakfu: Temporada 2: O cavaleiro justiceiro (episódio 8)"
"00:07:51","2026-01-31 17:06:46","João Vitor","BR (Brazil)","00:22:10","00:22:10","","","Apple iPhone 15 iPhone","Wakfu: Temporada 2: A emboscada (episódio 7)"
"00:13:35","2026-01-30 08:28:57","João Vitor","BR (Brazil)","00:14:18","Not latest view","","","Apple iPhone 15 iPhone","Wakfu: Temporada 2: A emboscada (episódio 7)"
"00:02:41","2026-01-30 08:27:03","João Vitor","BR (Brazil)","00:22:10","00:22:10","","","Apple iPhone 15 iPhone","Wakfu: Temporada 2: Qilby (episódio 6)"
"00:01:16","2026-01-30 01:22:48","João Vitor","BR (Brazil)","00:01:27","00:01:27","","","Apple iPhone 15 Pro Max iPhone","Barbie: A Touch of Magic: Temporada 1: Barbie conhece Peggy (episódio 1)"
"00:20:07","2026-01-28 13:35:11","João Vitor","BR (Brazil)","00:19:29","Not latest view","","","Apple iPhone 15 iPhone","Wakfu: Temporada 2: Qilby (episódio 6)"
"00:06:48","2026-01-28 13:28:38","João Vitor","BR (Brazil)","00:22:36","00:22:36","","","Apple iPhone 15 iPhone","Wakfu: Temporada 2: O porco dragão (episódio 5)"
"00:00:06","2026-01-28 01:00:24","João Vitor","BR (Brazil)","00:00:06","00:00:06","HOOK","Autoplayed: user action: None; ","TCL TV 2022 GTV RT51A Smart TV","Temporada 11 (Clipe 2): CoComelon"
"00:04:16","2026-01-28 00:56:02","João Vitor","BR (Brazil)","00:04:17","00:04:17","","","TCL TV 2022 GTV RT51A Smart TV","Vera e o Reino do Arco-Íris: O Reino do Arco-Íris: Discoteca fabulosa (episódio 1)"
"00:14:04","2026-01-28 00:41:55","João Vitor","BR (Brazil)","00:22:52","00:22:52","","","TCL TV 2022 GTV RT51A Smart TV","Vera e o Reino do Arco-Íris: A Família Pé-Grande: A árvore Ni Ni (episódio 5)"
"00:00:07","2026-01-28 00:41:38","João Vitor","BR (Brazil)","00:04:27","00:04:27","","","TCL TV 2022 GTV RT51A Smart TV","Pocoyo: Temporada 3: O restaurante do Pocoyo / Acorde, Pocoyo! / Piratas / O computador da Elly (episódio 8)"
"00:00:13","2026-01-28 00:41:00","João Vitor","BR (Brazil)","00:00:13","00:00:13","HOOK","Autoplayed: user action: None; ","TCL TV 2022 GTV RT51A Smart TV","Little Angel: Volume 1_hook_02_16x9"
