Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title
00:00:08,2026-01-30 14:35:25,Rafael,BR (Brazil),00:00:08,00:00:08,TRAILER,Autoplayed: user action: None; ,Chrome PC (Cadmium),Red Dead Redemption
00:00:04,2026-01-30 14:31:46,Rafael,BR (Brazil),00:00:04,00:00:04,TRAILER,Autoplayed: user action: None; ,Chrome PC (Cadmium),Temporada 5 (Trailer): Better Call Saul
00:00:09,2026-01-30 14:31:18,Rafael,BR (Brazil),00:00:09,00:00:09,TRAILER,Autoplayed: user action: None; ,Chrome PC (Cadmium),Stranger Things 5 (Trailer 2)
00:00:17,2026-01-30 14:30:05,Rafael,BR (Brazil),00:00:17,00:00:17,HOOK,Autoplayed: user action: None; ,Chrome PC (Cadmium),Dhurandhar_hook_04
00:01:44,2026-01-30 14:03:26,Rafael,BR (Brazil),00:00:00,Not latest view,HOOK,Autoplayed: user action: None; ,Chrome PC (Cadmium),Dhurandhar_hook_04
00:17:50,2026-01-30 01:04:12,Rafael,BR (Brazil),00:47:28,00:47:28,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 15 (episódio 15)
00:29:00,2026-01-29 23:55:25,Rafael,BR (Brazil),00:29:40,Not latest view,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 15 (episódio 15)
00:05:56,2026-01-29 23:49:28,Rafael,BR (Brazil),01:19:20,01:19:20,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 14 (episódio 14)
00:55:49,2026-01-29 21:44:30,Rafael,BR (Brazil),01:13:27,Not latest view,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 14 (episódio 14)
00:19:13,2026-01-29 16:31:33,Rafael,BR (Brazil),00:19:05,Not latest view,,Autoplayed: user action: None; ,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 14 (episódio 14)
00:15:25,2026-01-29 15:57:37,Rafael,BR (Brazil),01:20:24,01:20:24,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 13 (episódio 13)
01:02:39,2026-01-29 01:45:49,Rafael,BR (Brazil),01:03:14,Not latest view,,Autoplayed: user action: None; ,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 13 (episódio 13)
00:34:36,2026-01-29 01:04:16,Rafael,BR (Brazil),01:21:21,01:21:21,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 12 (episódio 12)
00:14:08,2026-01-29 00:41:21,Rafael,BR (Brazil),00:47:03,Not latest view,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 12 (episódio 12)
00:05:03,2026-01-28 23:52:53,Rafael,BR (Brazil),00:36:08,Not latest view,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 12 (episódio 12)
00:31:13,2026-01-28 22:43:35,Rafael,BR (Brazil),00:31:09,Not latest view,,Autoplayed: user action: None; ,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 12 (episódio 12)
00:23:51,2026-01-28 21:52:09,Rafael,BR (Brazil),01:20:50,01:20:50,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 11 (episódio 11)
00:18:11,2026-01-28 00:53:01,Rafael,BR (Brazil),00:57:06,Not latest view,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 11 (episódio 11)
00:35:35,2026-01-27 15:43:16,Rafael,BR (Brazil),00:39:10,Not latest view,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 11 (episódio 11)
00:03:27,2026-01-27 00:40:33,Rafael,BR (Brazil),00:03:40,Not latest view,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 11 (episódio 11)
00:44:29,2026-01-26 23:54:54,Rafael,BR (Brazil),01:20:27,01:20:27,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 10 (episódio 10)
01:18:13,2026-01-25 00:38:09,Rafael,BR (Brazil),01:18:14,01:18:14,,,LG 2017 LG M16p Standard UHD TV Smart TV,BLACKPINK: Light Up the Sky
00:00:25,2026-01-25 00:31:13,Rafael,BR (Brazil),00:00:25,00:00:25,TRAILER,Autoplayed: user action: None; ,LG 2017 LG M16p Standard UHD TV Smart TV,Temporada 4 (Trailer): Bridgerton
00:00:23,2026-01-25 00:30:44,Rafael,BR (Brazil),00:00:23,00:00:23,TRAILER,Autoplayed: user action: None; ,LG 2017 LG M16p Standard UHD TV Smart TV,Trailer: O Amor Pode Ser Traduzido?
00:00:33,2026-01-25 00:30:01,Rafael,BR (Brazil),00:00:33,00:00:33,TRAILER,Autoplayed: user action: None; ,LG 2017 LG M16p Standard UHD TV Smart TV,Temporada 1 (Trailer 2): Patinando no Amor
00:00:10,2026-01-25 00:29:31,Rafael,BR (Brazil),00:36:22,Not latest view,,,LG 2017 LG M16p Standard UHD TV Smart TV,Hometown Cha-Cha-Cha: Minissérie: Episódio 10 (episódio 10)
00:00:09,2026-01-25 00:28:50,Rafael,BR (Brazil),00:00:09,00:00:09,TEASER_TRAILER,Autoplayed: user action: None; ,LG 2017 LG M16p Standard UHD TV Smart TV,Temporada 2 (Teaser 3): Machos Alfa
00:00:06,2026-01-25 00:28:38,Rafael,BR (Brazil),00:01:02,00:01:02,HOOK,Autoplayed: user action: None; ,LG 2017 LG M16p Standard UHD TV Smart TV,No Time to Die_hook_04
00:00:59,2026-01-25 00:27:36,Rafael,BR (Brazil),00:00:59,Not latest view,HOOK,Autoplayed: user action: None; ,LG 2017 LG M16p Standard UHD TV Smart TV,No Time to Die_hook_04
00:07:34,2026-01-23 16:32:01,Rafael,BR (Brazil),00:36:15,Not latest view,,,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 10 (episódio 10)
00:28:19,2026-01-23 00:42:55,Rafael,BR (Brazil),00:28:44,Not latest view,,Autoplayed: user action: None; ,DefaultWidevineAndroidPhone,Hometown Cha-Cha-Cha: Minissérie: Episódio 10 (episódio 10)
