"Duration,""Start Time"",""Profile Name"",""Country"",""Bookmark"",""Latest Bookmark"",""Supplemental Video Type"",""Attributes"",""Device Type"",""Title""";;;
"00:00:06,""2026-01-30 14:36:04"",""Ryan"",""BR (Brazil)"",""00:00:06"",""00:00:06"",""TRAILER"",""Autoplayed: user action: None";" "",""Chrome PC (Cadmium)"",""PAW Patrol Academy""";;
"00:00:14,""2026-01-30 14:35:50"",""Ryan"",""BR (Brazil)"",""00:00:14"",""00:00:14"",""TRAILER"",""Autoplayed: user action: None";" "",""Chrome PC (Cadmium)"",""Bloons TD 6""";;
"00:01:43,""2026-01-28 23:23:23"",""Ryan"",""BR (Brazil)"",""00:01:43"",""00:01:43"","""",""Autoplayed: user action: None";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""O Show da Luna!: Temporada 4: Pirâmides Do Passado (episódio 3)""";;
"00:11:08,""2026-01-28 23:12:13"",""Ryan"",""BR (Brazil)"",""00:11:08"",""00:11:08"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""O Show da Luna!: Temporada 4: A Língua Dos Golfinhos (episódio 2)""";;;
"00:10:42,""2026-01-28 23:01:20"",""Ryan"",""BR (Brazil)"",""00:11:09"",""00:11:09"","""",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""O Show da Luna!: Temporada 4: Aurora Boreal (episódio 1)""";;
"01:16:35,""2026-01-27 01:16:52"",""Ryan"",""BR (Brazil)"",""01:16:35"",""01:16:35"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Alerta Vermelho""";;;
"00:00:26,""2026-01-27 01:16:22"",""Ryan"",""BR (Brazil)"",""00:00:26"",""00:00:26"",""HOOK"",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Alerta Vermelho (Clipe): Alerta Vermelho""";;
"00:03:27,""2026-01-26 23:10:06"",""Ryan"",""BR (Brazil)"",""00:08:00"",""00:08:00"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Apenas me abrace (episódio 7)""";;;
"00:00:23,""2026-01-26 23:09:13"",""Ryan"",""BR (Brazil)"",""00:01:34"",""00:01:34"","""",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Ponto e vírgula (episódio 4)""";;
"00:00:04,""2026-01-26 03:54:28"",""Ryan"",""BR (Brazil)"",""00:00:08"",""00:00:08"","""",""Autoplayed: user action: None";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Cruzando Caminhos (episódio 6)""";;
"00:37:50,""2026-01-26 03:16:36"",""Ryan"",""BR (Brazil)"",""00:37:54"",""00:37:54"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Em Espiral (episódio 5)""";;;
"00:43:48,""2026-01-26 02:32:46"",""Ryan"",""BR (Brazil)"",""00:43:52"",""00:43:52"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Beijo e Lágrimas (episódio 4)""";;;
"00:42:10,""2026-01-26 01:50:34"",""Ryan"",""BR (Brazil)"",""00:42:14"",""00:42:14"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Na Borda de Dentro (episódio 3)""";;;
"00:04:34,""2026-01-26 01:45:30"",""Ryan"",""BR (Brazil)"",""00:44:51"",""00:44:51"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Tiro no Escuro (episódio 2)""";;;
"00:00:04,""2026-01-25 02:53:42"",""Ryan"",""BR (Brazil)"",""00:00:08"",""Not latest view"","""",""Autoplayed: user action: None";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Cruzando Caminhos (episódio 6)""";;
"00:37:50,""2026-01-25 02:15:50"",""Ryan"",""BR (Brazil)"",""00:37:54"",""Not latest view"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Em Espiral (episódio 5)""";;;
"00:43:49,""2026-01-25 01:32:00"",""Ryan"",""BR (Brazil)"",""00:43:52"",""Not latest view"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Beijo e Lágrimas (episódio 4)""";;;
"00:42:11,""2026-01-25 00:49:47"",""Ryan"",""BR (Brazil)"",""00:42:14"",""Not latest view"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Na Borda de Dentro (episódio 3)""";;;
"00:33:41,""2026-01-25 00:10:53"",""Ryan"",""BR (Brazil)"",""00:44:58"",""Not latest view"","""",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Patinando no Amor: Temporada 1: Tiro no Escuro (episódio 2)""";;
"00:00:04,""2026-01-25 00:09:28"",""Ryan"",""BR (Brazil)"",""00:00:04"",""00:00:04"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""The Enforcer_hook_05""";;
"00:11:17,""2026-01-24 19:56:27"",""Ryan"",""BR (Brazil)"",""00:11:21"",""Not latest view"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Patinando no Amor: Temporada 1: Tiro no Escuro (episódio 2)""";;;
"00:38:56,""2026-01-24 19:17:29"",""Ryan"",""BR (Brazil)"",""00:38:56"",""00:38:56"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Patinando no Amor: Temporada 1: Primeiro Impulso (episódio 1)""";;;
"00:00:16,""2026-01-24 19:17:07"",""Ryan"",""BR (Brazil)"",""00:00:16"",""00:00:16"",""TRAILER"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Temporada 1 (Trailer): Patinando no Amor""";;
"00:00:04,""2026-01-24 00:25:43"",""Ryan"",""BR (Brazil)"",""00:00:04"",""00:00:04"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""The Flash: Season 1 - CLM 9""";;
"00:04:11,""2026-01-24 00:21:24"",""Ryan"",""BR (Brazil)"",""00:48:56"",""00:48:56"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Fundo do poço (episódio 6)""";;;
"00:37:36,""2026-01-23 23:35:13"",""Ryan"",""BR (Brazil)"",""00:44:50"",""Not latest view"","""",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Fundo do poço (episódio 6)""";;
"00:31:53,""2026-01-23 23:02:29"",""Ryan"",""BR (Brazil)"",""00:43:44"",""00:43:44"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: A família (episódio 5)""";;;
"00:00:07,""2026-01-23 23:02:18"",""Ryan"",""BR (Brazil)"",""00:00:07"",""00:00:07"",""TRAILER"",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Trailer da franquia: Elite""";;
"00:00:06,""2026-01-23 23:02:02"",""Ryan"",""BR (Brazil)"",""00:00:06"",""Not latest view"",""TRAILER"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Trailer da franquia: Elite""";;
"00:09:54,""2026-01-23 19:30:30"",""Ryan"",""BR (Brazil)"",""00:10:37"",""Not latest view"","""",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: A família (episódio 5)""";;
"00:15:13,""2026-01-23 19:14:56"",""Ryan"",""BR (Brazil)"",""00:43:42"",""Not latest view"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Ponto e vírgula (episódio 4)""";;;
"00:13:04,""2026-01-22 16:12:10"",""Ryan"",""BR (Brazil)"",""00:25:17"",""Not latest view"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Ponto e vírgula (episódio 4)""";;;
"00:12:18,""2026-01-22 15:55:13"",""Ryan"",""BR (Brazil)"",""00:12:18"",""Not latest view"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Ponto e vírgula (episódio 4)""";;;
"00:39:45,""2026-01-20 20:01:06"",""Ryan"",""BR (Brazil)"",""00:49:23"",""00:49:23"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Bling-bling (episódio 3)""";;;
